|    X     |    Y     |US |  S  |    Z     |OF |EQ |
| 00000101 | 00001111 | 0 | 000 | 00000000 | 0 | 0 |
| 00000101 | 00001111 | 0 | 001 | 00000101 | 0 | 0 |
| 00000101 | 00001111 | 0 | 010 | 00001111 | 0 | 0 |
| 00000101 | 00001111 | 0 | 011 | 00001010 | 0 | 0 |
| 00000101 | 00001111 | 0 | 100 | 00010100 | 0 | 0 |
| 00000101 | 00001111 | 1 | 100 | 00010100 | 0 | 0 |
| 00000101 | 00001111 | 1 | 101 | 11110110 | 0 | 0 |
| 00000101 | 00001111 | 0 | 110 | 01001011 | 0 | 0 |
| 00000101 | 00001111 | 1 | 111 | 01001011 | 0 | 0 |
| 00010010 | 11110100 | 0 | 000 | 00000000 | 0 | 0 |
| 00010010 | 11110100 | 0 | 001 | 00010000 | 0 | 0 |
| 00010010 | 11110100 | 0 | 010 | 11110110 | 0 | 0 |
| 00010010 | 11110100 | 0 | 011 | 11100110 | 0 | 0 |
| 00010010 | 11110100 | 1 | 100 | 00000110 | 0 | 0 |
| 00010010 | 11110100 | 1 | 101 | 00011110 | 0 | 0 |
| 00010010 | 11110100 | 1 | 111 | 00101000 | 1 | 0 |
| 01111101 | 01110011 | 0 | 100 | 11110000 | 0 | 0 |
| 01111101 | 01110011 | 1 | 100 | 11110000 | 1 | 0 |
| 11111101 | 01110011 | 1 | 101 | 10001010 | 0 | 0 |
| 00010010 | 00001100 | 0 | 110 | 11011000 | 0 | 0 |
| 00010010 | 00001100 | 1 | 111 | 11011000 | 1 | 0 |
| 00001100 | 00001100 | 1 | 111 | 10010000 | 1 | 1 |
| 11111010 | 11111010 | 1 | 111 | 00100100 | 0 | 1 |
