|        X         |        Y         |zx |nx |zy |ny | f |no |       out        |zr |ng |
| 0001100100011100 | 0000100100100101 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 1 | 1 | 0 | 0 | 0001100100011100 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 0 | 0 | 0 | 0 | 0000100100100101 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 1 | 1 | 0 | 1 | 1110011011100011 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 0 | 0 | 0 | 1 | 1111011011011010 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 1 | 1 | 1 | 1 | 1110011011100100 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 0 | 0 | 1 | 1 | 1111011011011011 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 0 | 1 | 1 | 1 | 1 | 1 | 0001100100011101 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 0 | 1 | 1 | 1 | 0000100100100110 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 1 | 1 | 1 | 0 | 0001100100011011 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 1 | 1 | 0 | 0 | 1 | 0 | 0000100100100100 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 0 | 0 | 1 | 0 | 0010001001000001 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 1 | 0 | 0 | 1 | 1 | 0000111111110111 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 0 | 1 | 1 | 1 | 1111000000001001 | 0 | 1 |
| 0001100100011100 | 0000100100100101 | 0 | 0 | 0 | 0 | 0 | 0 | 0000100100000100 | 0 | 0 |
| 0001100100011100 | 0000100100100101 | 0 | 1 | 0 | 1 | 0 | 1 | 0001100100111101 | 0 | 0 |
